epoch	train_loss	val_loss	lr
1	6.60e-04	9.66e-04	2.000000e-07
2	6.19e-04	8.97e-04	4.000000e-07
3	5.58e-04	8.02e-04	6.000000e-07
4	4.83e-04	7.04e-04	8.000000e-07
5	4.16e-04	6.06e-04	1.000000e-06
6	3.64e-04	5.61e-04	1.000000e-06
7	3.45e-04	5.41e-04	1.000000e-06
8	3.35e-04	5.00e-04	1.000000e-06
9	3.15e-04	4.67e-04	1.000000e-06
10	3.05e-04	4.64e-04	1.000000e-06
11	3.06e-04	4.62e-04	1.000000e-06
12	3.04e-04	4.51e-04	1.000000e-06
13	3.02e-04	4.34e-04	1.000000e-06
14	2.98e-04	4.32e-04	1.000000e-06
15	2.99e-04	4.34e-04	1.000000e-06
16	2.98e-04	4.23e-04	1.000000e-06
17	2.96e-04	4.07e-04	1.000000e-06
18	2.96e-04	4.13e-04	1.000000e-06
19	2.95e-04	4.20e-04	1.000000e-06
20	2.95e-04	3.87e-04	1.000000e-06
21	2.96e-04	3.76e-04	1.000000e-06
22	2.97e-04	3.85e-04	1.000000e-06
23	2.94e-04	4.00e-04	1.000000e-06
24	2.94e-04	3.92e-04	1.000000e-06
25	2.94e-04	3.82e-04	1.000000e-06
26	2.96e-04	3.91e-04	1.000000e-06
27	2.94e-04	3.98e-04	1.000000e-06
28	2.92e-04	4.01e-04	1.000000e-06
29	2.92e-04	3.96e-04	1.000000e-06
30	2.91e-04	4.03e-04	1.000000e-06
31	2.91e-04	3.97e-04	1.000000e-06
32	2.91e-04	3.85e-04	1.000000e-06
33	2.91e-04	3.81e-04	1.000000e-06
34	2.93e-04	3.88e-04	1.000000e-06
35	2.90e-04	3.74e-04	1.000000e-06
36	2.92e-04	3.95e-04	1.000000e-06
37	2.91e-04	3.94e-04	1.000000e-06
38	2.89e-04	4.08e-04	1.000000e-06
39	2.92e-04	4.13e-04	1.000000e-06
40	2.89e-04	4.06e-04	1.000000e-06
41	2.90e-04	4.09e-04	1.000000e-06
42	2.89e-04	3.94e-04	1.000000e-06
43	2.90e-04	3.87e-04	1.000000e-06
44	2.88e-04	3.84e-04	1.000000e-06
45	2.89e-04	3.66e-04	1.000000e-06
46	2.92e-04	3.77e-04	1.000000e-06
47	2.89e-04	3.91e-04	1.000000e-06
48	2.88e-04	4.17e-04	1.000000e-06
49	2.89e-04	3.89e-04	1.000000e-06
50	2.87e-04	3.83e-04	1.000000e-06
