epoch	train_loss	val_loss	lr
1	7.34e-04	9.76e-04	2.000000e-07
2	6.87e-04	9.09e-04	4.000000e-07
3	6.17e-04	8.14e-04	6.000000e-07
4	5.29e-04	7.16e-04	8.000000e-07
5	4.53e-04	6.48e-04	1.000000e-06
6	4.06e-04	5.93e-04	1.000000e-06
7	3.69e-04	5.40e-04	9.987832e-07
8	3.39e-04	5.04e-04	9.951389e-07
9	3.25e-04	4.77e-04	9.890847e-07
10	3.15e-04	4.61e-04	9.806502e-07
11	3.11e-04	4.56e-04	9.698765e-07
12	3.09e-04	4.52e-04	9.568160e-07
13	3.08e-04	4.43e-04	9.415323e-07
14	3.07e-04	4.46e-04	9.241000e-07
15	3.07e-04	4.22e-04	9.046040e-07
16	3.03e-04	3.98e-04	8.831392e-07
17	3.06e-04	4.10e-04	8.598102e-07
18	3.02e-04	4.25e-04	8.347307e-07
19	3.02e-04	4.28e-04	8.080229e-07
20	3.02e-04	4.22e-04	7.798169e-07
21	3.01e-04	4.13e-04	7.502500e-07
22	3.00e-04	4.28e-04	7.194664e-07
23	3.01e-04	4.34e-04	6.876160e-07
24	3.01e-04	4.34e-04	6.548540e-07
25	3.01e-04	4.28e-04	6.213400e-07
26	3.00e-04	4.25e-04	5.872373e-07
27	2.99e-04	4.34e-04	5.527120e-07
28	3.01e-04	4.17e-04	5.179323e-07
29	2.98e-04	4.14e-04	4.830677e-07
30	2.98e-04	4.16e-04	4.482880e-07
31	2.98e-04	4.18e-04	4.137627e-07
32	2.98e-04	4.10e-04	3.796600e-07
33	2.97e-04	4.04e-04	3.461460e-07
34	2.97e-04	4.01e-04	3.133840e-07
35	2.97e-04	4.00e-04	2.815336e-07
36	2.96e-04	3.98e-04	2.507500e-07
37	2.97e-04	3.99e-04	2.211831e-07
38	2.96e-04	4.04e-04	1.929771e-07
39	2.96e-04	4.03e-04	1.662693e-07
40	2.96e-04	4.02e-04	1.411898e-07
41	2.96e-04	4.02e-04	1.178608e-07
42	2.96e-04	4.01e-04	9.639601e-08
43	2.96e-04	4.01e-04	7.689998e-08
44	2.96e-04	4.03e-04	5.946768e-08
45	2.96e-04	4.05e-04	4.418404e-08
46	2.96e-04	4.04e-04	3.112354e-08
47	2.96e-04	4.04e-04	2.034978e-08
48	2.96e-04	4.05e-04	1.191527e-08
49	2.95e-04	4.05e-04	5.861100e-09
50	2.95e-04	4.05e-04	2.216757e-09
